Cod_IBGE,Grande região,Município,Mun_Total de casos,Mun_Total de óbitos
3536703,Interior,Pederneiras,3952,75
3536802,Interior,Pedra Bela,180,4
3536901,Interior,Pedranópolis,224,5
3537008,Interior,Pedregulho,273,16
3537107,Interior,Pedreira,3577,51
3537156,Interior,Pedrinhas Paulista,389,5
3537206,Interior,Pedro de Toledo,410,15
3537305,Interior,Penápolis,6255,224
3537404,Interior,Pereira Barreto,2251,82
3537503,Interior,Pereiras,1065,20
3537602,Interior,Peruíbe,6303,200
3537701,Interior,Piacatu,622,9
3537800,Interior,Piedade,4872,129
3537909,Interior,Pilar do Sul,2823,74
3538006,Interior,Pindamonhangaba,11870,266
3538105,Interior,Pindorama,1378,53
3538204,Interior,Pinhalzinho,775,5
3538303,Interior,Piquerobi,231,3
3538501,Interior,Piquete,326,13
3538600,Interior,Piracaia,3097,38
3538709,Interior,Piracicaba,56856,1184
3538808,Interior,Piraju,1788,65
3538907,Interior,Pirajuí,2125,50
3539004,Interior,Pirangi,1584,60
3539103,RMSP (exceto capital),Pirapora do Bom Jesus,1413,16
3539202,Interior,Pirapozinho,2581,65
3539301,Interior,Pirassununga,8303,226
3539400,Interior,Piratininga,862,31
3539509,Interior,Pitangueiras,4707,145
3539608,Interior,Planalto,572,8
3539707,Interior,Platina,317,10
3539806,RMSP (exceto capital),Poá,7516,343
3539905,Interior,Poloni,780,16
3540002,Interior,Pompéia,896,26
3540101,Interior,Pongaí,335,9
3540200,Interior,Pontal,4849,154
3540259,Interior,Pontalinda,184,11
3540309,Interior,Pontes Gestal,351,8
3540408,Interior,Populina,223,5
3540507,Interior,Porangaba,821,18
3540606,Interior,Porto Feliz,7613,118
3540705,Interior,Porto Ferreira,6007,146
3540754,Interior,Potim,1715,37
3540804,Interior,Potirendaba,2747,67
3540853,Interior,Pracinha,173,1
3540903,Interior,Pradópolis,1753,36
3541000,Interior,Praia Grande,19562,664
3541059,Interior,Pratânia,795,11
3541109,Interior,Presidente Alves,258,7
3541208,Interior,Presidente Bernardes,1237,34
3541307,Interior,Presidente Epitácio,2847,104
3541406,Interior,Presidente Prudente,27402,793
3541505,Interior,Presidente Venceslau,2845,96
3541604,Interior,Promissão,5094,82
3541653,Interior,Quadra,188,7
3541703,Interior,Quatá,1190,26
3541802,Interior,Queiroz,359,3
3541901,Interior,Queluz,950,6
3542008,Interior,Quintana,525,19
3542107,Interior,Rafard,937,6
3542206,Interior,Rancharia,3825,88
3542305,Interior,Redenção da Serra,104,2
3542404,Interior,Regente Feijó,672,53
3542503,Interior,Reginópolis,295,15
3542602,Interior,Registro,6153,197
3542701,Interior,Restinga,543,8
3542800,Interior,Ribeira,397,2
3542909,Interior,Ribeirão Bonito,933,26
3543006,Interior,Ribeirão Branco,1661,49
3543105,Interior,Ribeirão Corrente,283,3
3543204,Interior,Ribeirão do Sul,625,10
3543238,Interior,Ribeirão dos Índios,69,5
3543253,Interior,Ribeirão Grande,402,8
3543303,RMSP (exceto capital),Ribeirão Pires,7929,322
3543402,Interior,Ribeirão Preto,68353,2576
3543501,Interior,Riversul,514,26
3543600,Interior,Rifaina,446,11
3543709,Interior,Rincão,476,26
3543808,Interior,Rinópolis,490,8
3543907,Interior,Rio Claro,11815,515
3544004,Interior,Rio das Pedras,3108,86
3544103,RMSP (exceto capital),Rio Grande da Serra,2021,78
3544202,Interior,Riolândia,1854,28
3544251,Interior,Rosana,1290,41
3544301,Interior,Roseira,1437,23
3544400,Interior,Rubiácea,184,9
3544509,Interior,Rubinéia,368,6
3544608,Interior,Sabino,268,26
3544707,Interior,Sagres,235,1
3544806,Interior,Sales,439,27
3544905,Interior,Sales Oliveira,1686,27
3545001,RMSP (exceto capital),Salesópolis,573,42
3545100,Interior,Salmourão,308,20
3545159,Interior,Saltinho,822,15
3545209,Interior,Salto,10524,312
3545308,Interior,Salto de Pirapora,3888,165
3545407,Interior,Salto Grande,796,7
3545506,Interior,Sandovalina,355,8
3545605,Interior,Santa Adélia,1498,55
3545704,Interior,Santa Albertina,571,20
3545803,Interior,Santa Bárbara d'Oeste,20000,665
3546009,Interior,Santa Branca,1082,32
3546108,Interior,Santa Clara d'Oeste,235,14
3546207,Interior,Santa Cruz da Conceição,605,13
3546256,Interior,Santa Cruz da Esperança,188,4
3546306,Interior,Santa Cruz das Palmeiras,3600,102
3546405,Interior,Santa Cruz do Rio Pardo,6006,141
3546504,Interior,Santa Ernestina,524,14
3546603,Interior,Santa Fé do Sul,4399,92
3546702,Interior,Santa Gertrudes,3401,61
3546801,RMSP (exceto capital),Santa Isabel,5406,238
3546900,Interior,Santa Lúcia,630,18
3547007,Interior,Santa Maria da Serra,721,8
3547106,Interior,Santa Mercedes,186,4
3547205,Interior,Santana da Ponte Pensa,45,2
3547304,RMSP (exceto capital),Santana de Parnaíba,13630,340
3547403,Interior,Santa Rita d'Oeste,271,7
3547502,Interior,Santa Rita do Passa Quatro,1589,36
3547601,Interior,Santa Rosa de Viterbo,2041,39
3547650,Interior,Santa Salete,180,4
3547700,Interior,Santo Anastácio,1556,32
3547809,RMSP (exceto capital),Santo André,58648,2768
3547908,Interior,Santo Antônio da Alegria,794,18
3548005,Interior,Santo Antônio de Posse,2862,37
3548054,Interior,Santo Antônio do Aracanguá,573,27
3548104,Interior,Santo Antônio do Jardim,498,19
3548203,Interior,Santo Antônio do Pinhal,620,7
3548302,Interior,Santo Expedito,166,4
3548401,Interior,Santópolis do Aguapeí,513,14
3548500,Interior,Santos,54968,1919
3548609,Interior,São Bento do Sapucaí,671,9
3548708,RMSP (exceto capital),São Bernardo do Campo,67630,2929
3548807,RMSP (exceto capital),São Caetano do Sul,17362,818
3548906,Interior,São Carlos,22777,454
3549003,Interior,São Francisco,238,9
3549102,Interior,São João da Boa Vista,7522,246
3549201,Interior,São João das Duas Pontes,174,5
3549250,Interior,São João de Iracema,150,6
3549300,Interior,São João do Pau d'Alho,161,0
3549409,Interior,São Joaquim da Barra,5872,112
3549508,Interior,São José da Bela Vista,280,15
3549607,Interior,São José do Barreiro,259,4
3549706,Interior,São José do Rio Pardo,3063,75
3549805,Interior,São José do Rio Preto,85414,2504
3549904,Interior,São José dos Campos,83105,1747
3549953,RMSP (exceto capital),São Lourenço da Serra,659,33
3550001,Interior,São Luiz do Paraitinga,74,21
3550100,Interior,São Manuel,5144,137
3550209,Interior,São Miguel Arcanjo,1931,59
3550308,Capital,São Paulo,863581,33820
3550407,Interior,São Pedro,4528,82
3550506,Interior,São Pedro do Turvo,655,8
3550605,Interior,São Roque,6085,94
3550704,Interior,São Sebastião,7744,159
3550803,Interior,São Sebastião da Grama,1077,30
3550902,Interior,São Simão,907,24
3551009,Interior,São Vicente,17268,1087
3551108,Interior,Sarapuí,387,4
3551207,Interior,Sarutaiá,119,16
3551306,Interior,Sebastianópolis do Sul,150,6
3551405,Interior,Serra Azul,1196,14
3551504,Interior,Serrana,4275,89
3551603,Interior,Serra Negra,2801,51
3551702,Interior,Sertãozinho,16799,413
3551801,Interior,Sete Barras,1732,39
3551900,Interior,Severínia,2104,61
3552007,Interior,Silveiras,436,6
3552106,Interior,Socorro,3782,60
3552205,Interior,Sorocaba,66595,2403
3552304,Interior,Sud Mennucci,870,13
3552403,Interior,Sumaré,23713,716
3552502,RMSP (exceto capital),Suzano,20950,826
3552551,Interior,Suzanápolis,310,11
3552601,Interior,Tabapuã,1724,47
3552700,Interior,Tabatinga,1857,50
3552809,RMSP (exceto capital),Taboão da Serra,17357,838
3552908,Interior,Taciba,663,23
3553005,Interior,Taguaí,2227,34
3553104,Interior,Taiaçu,345,10
3553203,Interior,Taiúva,837,12
3553302,Interior,Tambaú,2174,42
3553401,Interior,Tanabi,4052,92
3553500,Interior,Tapiraí,695,9
3553609,Interior,Tapiratiba,1480,22
3553658,Interior,Taquaral,351,10
3553708,Interior,Taquaritinga,5599,177
3553807,Interior,Taquarituba,3381,86
3553856,Interior,Taquarivaí,463,14
3553906,Interior,Tarabai,790,25
